Date,Region,County,Market,Commodity Category,Commodity,Priceflag,Pricetype,Currency(USD),Price (Ksh),Inflation Rate,Rainfall Average,Unit_Quantity,Year,Month,Day Name,Day_Classification
2006-01-15,Coast,Mombasa,Mombasa,cereals and tubers,Maize (white),actual,Wholesale,69.9878,1480.0,8.39,5.2364,90,2006,1,Sunday,weekend
2006-01-15,Coast,Mombasa,Mombasa,pulses and nuts,Beans (dry),actual,Wholesale,69.9878,3246.0,8.39,5.2364,90,2006,1,Sunday,weekend
2006-01-15,Eastern,Kitui,Kitui,cereals and tubers,Potatoes (Irish),actual,Wholesale,69.9878,1249.99,8.39,5.2364,50,2006,1,Sunday,weekend
2006-01-15,Eastern,Kitui,Kitui,cereals and tubers,Sorghum,actual,Wholesale,69.9878,1800.0,8.39,5.2364,90,2006,1,Sunday,weekend
2006-01-15,Eastern,Kitui,Kitui,pulses and nuts,Beans (dry),actual,Retail,69.9878,39.0,8.39,5.2364,1,2006,1,Sunday,weekend
2006-01-15,Nairobi,Nairobi,Nairobi,cereals and tubers,Bread,actual,Retail,69.9878,26.0,8.39,5.2364,400,2006,1,Sunday,weekend
2006-01-15,Nairobi,Nairobi,Nairobi,cereals and tubers,Maize,actual,Wholesale,69.9878,15.48,8.39,5.2364,1,2006,1,Sunday,weekend
2006-01-15,Nairobi,Nairobi,Nairobi,cereals and tubers,Potatoes (Irish),actual,Wholesale,69.9878,664.43,8.39,5.2364,50,2006,1,Sunday,weekend
2006-01-15,Nairobi,Nairobi,Nairobi,milk and dairy,"Milk (cow, pasteurized)",actual,Retail,69.9878,22.0,8.39,5.2364,500,2006,1,Sunday,weekend
2006-01-15,Nairobi,Nairobi,Nairobi,oil and fats,Oil (vegetable),actual,Retail,69.9878,115.0,8.39,5.2364,1,2006,1,Sunday,weekend
2006-01-15,Nairobi,Nairobi,Nairobi,pulses and nuts,Beans,actual,Wholesale,69.9878,42.31,8.39,5.2364,1,2006,1,Sunday,weekend
2006-01-15,Nyanza,Kisumu,Kisumu,cereals and tubers,Maize,actual,Wholesale,69.9878,14.84,8.39,5.2364,1,2006,1,Sunday,weekend
2006-01-15,Nyanza,Kisumu,Kisumu,cereals and tubers,Maize (white),actual,Wholesale,69.9878,1320.0,8.39,5.2364,90,2006,1,Sunday,weekend
2006-01-15,Nyanza,Kisumu,Kisumu,cereals and tubers,Potatoes (Irish),actual,Wholesale,69.9878,1074.07,8.39,5.2364,50,2006,1,Sunday,weekend
2006-01-15,Nyanza,Kisumu,Kisumu,cereals and tubers,Sorghum,actual,Wholesale,69.9878,1600.0,8.39,5.2364,90,2006,1,Sunday,weekend
2006-01-15,Nyanza,Kisumu,Kisumu,pulses and nuts,Beans,actual,Wholesale,69.9878,39.61,8.39,5.2364,1,2006,1,Sunday,weekend
2006-01-15,Nyanza,Kisumu,Kisumu,pulses and nuts,Beans (dry),actual,Wholesale,69.9878,4000.0,8.39,5.2364,90,2006,1,Sunday,weekend
2006-01-15,Rift Valley,Turkana,Lodwar,cereals and tubers,Maize (white),actual,Retail,69.9878,26.0,8.39,5.2364,1,2006,1,Sunday,weekend
2006-01-15,Rift Valley,Uasin Gishu,Eldoret town,cereals and tubers,Maize (white),actual,Wholesale,69.9878,1192.0,8.39,5.2364,90,2006,1,Sunday,weekend
2006-01-15,Rift Valley,Uasin Gishu,Eldoret town,pulses and nuts,Beans,actual,Wholesale,69.9878,45.85,8.39,5.2364,1,2006,1,Sunday,weekend
2006-01-15,Rift Valley,Uasin Gishu,Eldoret town,pulses and nuts,Beans (dry),actual,Wholesale,69.9878,2799.0,8.39,5.2364,90,2006,1,Sunday,weekend
2006-02-15,Coast,Mombasa,Mombasa,cereals and tubers,Maize,actual,Wholesale,71.6544,16.41,9.39,8.557433333333334,1,2006,2,Wednesday,weekday
2006-02-15,Coast,Mombasa,Mombasa,cereals and tubers,Maize (white),actual,Wholesale,71.6544,1523.0,9.39,8.557433333333334,90,2006,2,Wednesday,weekday
2006-02-15,Coast,Mombasa,Mombasa,pulses and nuts,Beans,actual,Wholesale,71.6544,39.48,9.39,8.557433333333334,1,2006,2,Wednesday,weekday
2006-02-15,Eastern,Kitui,Kitui,cereals and tubers,Maize (white),actual,Retail,71.6544,18.0,9.39,8.557433333333334,1,2006,2,Wednesday,weekday
2006-02-15,Eastern,Kitui,Kitui,cereals and tubers,Potatoes (Irish),actual,Wholesale,71.6544,1555.55,9.39,8.557433333333334,50,2006,2,Wednesday,weekday
2006-02-15,Eastern,Kitui,Kitui,cereals and tubers,Sorghum,actual,Wholesale,71.6544,2000.0,9.39,8.557433333333334,90,2006,2,Wednesday,weekday
2006-02-15,Eastern,Marsabit,Marsabit,cereals and tubers,Maize (white),actual,Retail,71.6544,22.0,9.39,8.557433333333334,1,2006,2,Wednesday,weekday
2006-02-15,Nairobi,Nairobi,Nairobi,cereals and tubers,Bread,actual,Retail,71.6544,26.0,9.39,8.557433333333334,400,2006,2,Wednesday,weekday
2006-02-15,Nairobi,Nairobi,Nairobi,cereals and tubers,Maize (white),actual,Wholesale,71.6544,1488.0,9.39,8.557433333333334,90,2006,2,Wednesday,weekday
2006-02-15,Nairobi,Nairobi,Nairobi,cereals and tubers,Potatoes (Irish),actual,Wholesale,71.6544,694.44,9.39,8.557433333333334,50,2006,2,Wednesday,weekday
2006-02-15,Nairobi,Nairobi,Nairobi,cereals and tubers,Sorghum,actual,Wholesale,71.6544,2260.0,9.39,8.557433333333334,90,2006,2,Wednesday,weekday
2006-02-15,Nairobi,Nairobi,Nairobi,milk and dairy,"Milk (cow, pasteurized)",actual,Retail,71.6544,25.0,9.39,8.557433333333334,500,2006,2,Wednesday,weekday
2006-02-15,Nairobi,Nairobi,Nairobi,oil and fats,Oil (vegetable),actual,Retail,71.6544,120.0,9.39,8.557433333333334,1,2006,2,Wednesday,weekday
2006-02-15,Nairobi,Nairobi,Nairobi,pulses and nuts,Beans,actual,Wholesale,71.6544,47.1,9.39,8.557433333333334,1,2006,2,Wednesday,weekday
2006-02-15,Nairobi,Nairobi,Nairobi,pulses and nuts,Beans (dry),actual,Wholesale,71.6544,3485.0,9.39,8.557433333333334,90,2006,2,Wednesday,weekday
2006-02-15,Nyanza,Kisumu,Kisumu,cereals and tubers,Potatoes (Irish),actual,Wholesale,71.6544,1184.99,9.39,8.557433333333334,50,2006,2,Wednesday,weekday
2006-02-15,Nyanza,Kisumu,Kisumu,cereals and tubers,Sorghum,actual,Wholesale,71.6544,1600.0,9.39,8.557433333333334,90,2006,2,Wednesday,weekday
2006-02-15,Nyanza,Kisumu,Kisumu,pulses and nuts,Beans,actual,Wholesale,71.6544,42.79,9.39,8.557433333333334,1,2006,2,Wednesday,weekday
2006-02-15,Nyanza,Kisumu,Kisumu,pulses and nuts,Beans (dry),actual,Wholesale,71.6544,4000.0,9.39,8.557433333333334,90,2006,2,Wednesday,weekday
2006-02-15,Rift Valley,Turkana,Lodwar,cereals and tubers,Maize (white),actual,Retail,71.6544,28.0,9.39,8.557433333333334,1,2006,2,Wednesday,weekday
